NR,OGGETTO,VETRINA,DIDASCALIA,STATO_CORRENTE,LINK,OGGETTO_ESISTENTE,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Licenza,PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Licenza,MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Licenza,OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Licenza,ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Licenza,METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Licenza,CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),CARICAMENTO_Licenza,ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),STANZA
vetrina_4_alto_s_9,"Fossili, Coralli E Molluschi",,Megalodon Sp.,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240212-lgyxisbt8,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-02-12,2024-02-12,,2023-06-09,2023-06-09,5
vetrina_4_alto_s_10,"Fossili, Coralli E Molluschi",,"Productus Geinitzianus (de Koninck, 1847)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240108-8fhqs3la4,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-12,2023-06-12,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-01-08,2024-01-08,,2023-06-12,2023-06-12,5
vetrina_4_alto_s_11,"Fossili, Coralli E Molluschi",,"Stephanoceras Bayleanus (foresti, 1887)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240108-3rqyasqab,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-20,2023-06-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-01-08,2024-01-08,,2023-06-09,2023-06-09,5
vetrina_4_alto_s_12,"Fossili, Coralli E Molluschi",,"Tellina Planata (linnaeus, 1758)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240109-q01tkhs4n,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-05-09,2023-05-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-15,2023-06-15,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-01-09,2024-01-09,,2023-06-09,2023-06-09,5
vetrina_4_alto_s_13,"Fossili, Coralli E Molluschi",,"Glossus Humanus (linnaeus, 1758)",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240109-5gorq66sj,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-05-09,2023-05-09,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 14,2023-06-09,2023-06-09,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-15,2023-06-15,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-01-09,2024-01-09,,2023-06-09,2023-06-09,5
vetrina_4_basso,Rocce,,Campioni Di Rocce Levigate,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240513-irww8q1yb,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,,Cnr Ispc,Maria Felicia Rega,3df Zephyr,2024-05-13,2024-05-13,,Cnr Ispc,Maria Felicia Rega,Blender,2024-05-13,2024-05-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender; 3df Zephyr,2024-05-13,2024-05-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-05-13,2024-05-13,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-05-13,2024-05-13,,2023-03-05,2023-03-05,5
vetrina_5_alto_n,Botroidi,Dicam,"Botroidi, Concrezioni Arenacee La Cui Forma Richiama Oggetti, Animali, O Vegetali",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20240701-stw4oghi7,,Dicam Fatto Anche Il Doppio,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-07-01,2024-07-01,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-07-01,2024-07-01,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-07-01,2024-07-01,,2023-05-22,2023-05-22,5
vetrina_5_alto_n_t,Tavoletta,Dicam,Con 4 Botroidi,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250408-04og5p11w,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-01-07,2024-01-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-01-07,2024-01-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-01-07,2024-01-07,,2023-05-22,2023-05-22,5
vetrina_5_alto_s_1,Botroidi,Dicam,Melopoponites,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240702-nfk35eqgk,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-06,2023-06-07,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-06,2023-06-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-02-07,2024-02-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-02-07,2024-02-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-02-07,2024-02-07,,2023-06-05,2023-06-05,5
vetrina_5_alto_s_2,Botroidi,Dicam,Triorchites,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250307-7q9di58nm,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-02-07,2024-02-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-02-07,2024-02-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-02-07,2024-02-07,,2023-05-22,2023-05-22,5
vetrina_5_alto_s_2_t,Tavoletta,Dicam,Melopoponites,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240702-pnn2eq0gr,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-06,2023-06-07,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-06,2023-06-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-02-07,2024-02-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-02-07,2024-02-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Dbc,Maria Felicia Rega,Nextcloud; Aton,2024-02-07,2024-02-07,,2023-06-05,2023-06-05,5
vetrina_5_basso,Botroidi,Dicam E Dbc,"Botroidi, Concrezioni Arenacee La Cui Forma Richiama Oggetti, Animali, O Vegetali+ Matrice Botroide Basso (dicam) Voce Aggiunta In Fondo",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250320-ffwwejjtu,,,Unibo Dbc,Veronica Casadei,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-07,2023-06-07,,Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-14,2023-06-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-30,2023-06-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-07-06,2023-07-06,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2023-07-06,2023-07-06,,2023-06-07,2023-06-07,5
vetrina_5_basso_t,Tavoletta Botroide,Dicam,Con botroide,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20240702-tr94v0gfo,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-05-23,2023-06-24,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-07-02,2024-07-02,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-07-02,2024-07-02,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-07-02,2024-07-02,,2023-05-22,2023-05-22,5
vetrina_6_alto_n_1,Rettili,,"Bufo Sp., Rospo",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240314-8yzg3gksu,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 15,2022-06-07,2022-06-07,,Unibo Dbc,Francesca Fabbri,Artec Studio 15,2022-06-07,2022-06-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Instant Meshes; Gimp; Blender; 3df Zephyr,2024-03-14,2024-03-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2024-03-14,2024-03-14,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2024-03-14,2024-03-14,,2022-06-27,2022-06-27,5
vetrina_6_alto_n_1_t,Tavoletta,,Con Bufo,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250507-il0ipuofi,,,Unibo Ficlit,Alice Bordignon,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-07,2025-05-07,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-07,2025-05-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-05-07,2025-05-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-05-07,2025-05-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-05-07,2025-05-07,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-05-07,2025-05-07,,2025-04-29,2025-04-29,5
vetrina_6_alto_n_2,Rettili,,"Cordylus Sp., Lucertola",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240314-ebr4fds4j,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 15,2022-06-07,2022-06-07,,Unibo Dbc,Federica Collina,Artec Studio 15,2022-06-07,2022-06-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Blender,2024-03-14,2024-03-14,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-14,2024-03-14,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-03-14,2023-03-14,,2022-06-27,2022-06-27,5
vetrina_6_alto_n_2_t,Tavoletta,,Con Lucertola,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250508-9f5oovk64,,,Unibo Ficlit,Alice Bordignon; Luisa Ammirati,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-08,2025-05-08,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-08,2025-05-08,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-05-08,2025-05-08,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-05-08,2025-05-08,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-05-08,2025-05-08,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-05-08,2025-05-08,,2025-04-29,2025-04-29,5
vetrina_6_alto_s_1,Rettili,Non Acquisito (vetro),"Chamaeleo Chamaeleon (linnaeus, 1758), Camaleonte Europeo",,,,In Vetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_6_alto_s_2,Rettili,Non Acquisito (vetro),"Scincus Sp., Scinco, O Pesce Delle Sabbie",,,,In Vetro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_6_alto_s_2_t,Tavoletta,Dicam,Con pesce non identificato,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240703-adyq1ronv,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-15,2023-06-15,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-16,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-03-07,2024-03-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-04-07,2024-03-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-03-07,2024-03-07,,2023-06-14,2023-06-14,5
vetrina_6_alto_s_3,Rettili,Non Acquisito,"Draco Sp., Drago Volante",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,,,,,,,,,,,,5
vetrina_6_basso_1,Cetacei,Dbc 12 O 16,"Preparati Zoologici, Scapola Di Balena",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231121-fly2eb817,,,Unibo Dbc,Veronica Casadei,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-12,2023-06-12,,Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-23,2023-06-23,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-07-03,2023-07-03,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-07-07,2023-07-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-11-21,2023-11-21,,2023-06-12,2023-06-12,5
vetrina_6_basso_2,Cetacei,,"Preparati Zoologici, Scheletro Di Delfino",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250527-gtdo84l6b,,,Unibo Ficlit,Alice Bordignon; Francesca Fabbri; Luisa Ammirati,Scansione A Proiezione Di Luce Strutturata,Artec Leo,,Unibo Ficlit,Francesca Fabbri; Luisa Ammirati,Artec Studio 19,2025-05-13,2025-05-15,,Unibo Ficlit,Francesca Fabbri; Luisa Ammirati,Artec Studio 19; Blender; Gimp,2025-05-13,2025-05-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,"Blender; Instant Meshes, Gimp",2025-05-15,2025-05-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2025-06-03,2025-06-03,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-06-03,2025-06-03,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2025-06-03,2025-06-03,,2025-04-29,2025-04-29,5
vetrina_6_basso_2_t,Tavoletta,,Con Delfino,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250507-m1iolurjt,,CATALOGO PER IDENTIFICARE OGGETTO: Https://catalogo.sma.unibo.it/it/29/ricerca/detailiccd/463/,Unibo Ficlit,Luisa Ammirati,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-07,2025-05-07,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-05-07,2025-05-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Instant Meshes; Blender,2025-05-07,2025-05-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-05-07,2025-05-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-05-07,2025-05-07,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-05-07,2025-05-07,,2025-04-29,2025-04-29,5
vetrina_7_alto_n_1,Pesci,,"Peristedion Cataphractum (linnaeus, 1758), Pesci Forca",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250324-7vo7yu7j3,,,Unibo Ficlit,Daniele Spedicati; Stefano Sorrentino,Fotogrammetria,Nikon D7200; Nikkor 50mm,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2024-03-12,2024-03-12,,Unibo Ficlit,Alice Bordignon,Blender,2024-03-13,2024-03-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Gimp; Blender; 3df Zephyr,2024-03-13,2024-03-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-13,2024-03-13,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-03-13,2024-03-13,,2023-05-31,2023-05-31,5
vetrina_7_alto_n_1_t,Tavoletta,Dicam,"Con Pesce Forca Sono Indecisa Se Il Nostro Sia Un Pesce Forca O Sega, Perch Ha Due 'cornini' Ma Anche Il Naso Da Pesce Sega",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240703-xxg3xv1ps,,,Unibo Dicam,Valentina Girelli,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-15,2023-06-15,,Unibo Dicam,Anna Forte,Artec Studio 16,2023-06-16,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Instant Meshes; Gimp; Blender,2024-03-07,2024-03-07,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-03-07,2024-03-07,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-03-07,2024-03-07,,2023-06-14,2023-06-14,5
